Police Station,Year,Type,Date,Time,Place,Latitude,Longitude
Subramanyapura,2015,Assault,21/09/2015,18:00,"Survey No.94/27, chikkegoudanpalya, Hemmigepura, 3rd Bklock, 6th Cross Bangalore.",12.878058,77.511198
J P Nagar,2018,2 wheeler theft,31/12/2018,2:00:00 PM,"LAKSHMAIAH LAYOUT, SUBRAMANYAPURA POST UTTARAHALLI,BENGALORE CITY",12.87806526,77.57117098
J P Nagar,2015,2 wheeler theft,14/09/2015,3:30:00 PM,AJANNAPUR BENGALORE CITY,12.87806932,77.5699951
J P Nagar,2016,2 wheeler theft,5/10/2016,11:00:00 AM,"J,P NAGAR 8TH CROSS BENGALORE CITY",12.8781012,77.58233572
Subramanyapura,2019,Assault,02/07/2019,22:00,"Karnaka Bank M, Kanakapura main road, Raghuvanahalli, Bangalore.",12.878127,77.545653
Subramanyapura,2018,Assault,04/10/2018,23:00,"Yogehs's House, BCMC Layout, Raghuvanahalli, bengaluru.",12.878179,77.551471
Banashankari,2018,Murder,14/07/2018,21:00,"Site No.72, Astalaxmi Layout, Hosahalli Bangalore.",12.878193,77.535515
J P Nagar,2019,2 wheeler theft,10/22/2019,,"INFRENT OF NO 05,
BIRESHWARA NAGARA
CARMEL SCHOOL
ROAD,
CHUNCHANAGTA
MAIN ROAD, Bengaluru
City Karnaka 560078",12.878194,77.57011
Siddapura,2017,Kidnap,6/4/2017,9:30,"Near maramma circle harinagar ,bangalore",12.878194,77.57011
Siddapura,2017,Kidnap,9/9/2017,12:00,"No.nill,behind ksp school,harinagar ,bangalore",12.87822,77.570138
K S Layout,2019,4 Wheeler Theft,17/07/2019,12:15,"Opp PST
Junction,Vishnuvardhan
Road, Banasahankri 2nd
Stage, Bengaluru City,",12.87823,77.50026
Subramanyapura,2017,Assault,15/10/2017,16:30,"Near karnaka driving school,pillar bali bangalore",12.87825,77.582154
Subramanyapura,2018,Assault,11/04/2018,9:35,"No.10,vasanth poornima,2nd cross,2nd main,jyothi layout,yelachenahalli,bangalore",12.87825,77.582172
Subramanyapura,2018,Assault,21/04/2018,22:15,"Plinium life styke apt,common area,80 feet kothanur main road,jp nagar 8th stage,bangalore",12.87825,77.582172
Thalaghtappura,2019,Assault,23/04/2019,17:30,"No.123rd main,chunchaghta main road,bangalore",12.87825,77.582154
Thalaghtappura,2019,Assault,18/05/2019,18:45,"Venkeshwara medical shop,chunchaghta main road,bangalore",12.87825,77.582154
Thalaghtappura,2019,Assault,04/07/2019,22:15,"Infront of bakery,jambusavari dinne,bustand near,bangalore",12.878271,77.71821714
Thalaghtappura,2019,Assault,09/07/2019,15:00,"No.01 front,govt school,puttamma layout,chunchaghta main road,bangalore",12.878271,77.71821714
Siddapura,2018,Kidnap,29/01/2018,16:00,"No.170, 7th Main Road, 5th Cross, BCMC Layout, Narayanagar, Bengaluru.",12.878402,77.55041
Girinagar,2015,2 wheeler theft,20/01/2015,4:00:00 PM,"Infront Of House No.137/1, 2nd Mainroad, 2nd Cross, J.P.Nagar 7th Phase,
Bengaluru City, Karnaka, 560078",12.8784077,77.5572069
Subramanyapura,2017,Assault,03/10/2017,21:00,"No.08, Laibrary road talaghtadprua, bangalore.",12.878478,77.542174
Basavanagudi,2017,Robbery,8/3/2017,15:30,"Sri guru raghavendra bank near ,jyothi layout ,near jyothi school ,bangalore",12.87848,77.569592
Basavanagudi,2016,Robbery,5/11/2016,12:30,"Nice Road, Hemmigepura Bridge, Kanakapura Main Road, Bangalore.",12.878482,77.495114
Subramanyapura,2015,Assault,02/11/2015,11:30,"No.1, Nanjappa Complex Bar & resort, Near KSIT College, Raghuvanahalli, Bangalore.",12.878629,77.545068
Siddapura,2018,Kidnap,12/11/2018,17:30,"Near harinagar petro bunk,harinagar cross,bangalore",12.878655,77.566708
Siddapura,2019,Kidnap,31/08/2019,12:15,"No.127,near masid,harinagar ,bangalore",12.878746,77.5622
Subramanyapura,2018,Assault,25/01/2018,15:30,"Ambruth nagar main road,bangalore",12.878746,77.5622
Subramanyapura,2017,Assault,08/11/2017,23:00,"Panchamukhi Layout, Hemmigepura, Vidyapeeth Post, Bangalore.",12.878781,77.546147
Banashankari,2018,Attempted Murder,26/10/2018,13:00,"No.09, 1st Cross, Near Wer Tank, ""H"" Gollahalli, Bangalore.",12.878813,77.482329
J P Nagar,2018,2 wheeler theft,4/7/2018,6:45:00 PM,"Near Shoba Apt, 100 Feet Road, Ganigaraplaya, Bengaluru.",12.878823,77.529835
Basavanagudi,2017,Robbery,12/21/2017,22:00,"Near Shobha forest view apartment new ge, 100 feet road, Hosahalli, Bengaluru",12.878854,77.529878
Siddapura,2018,Kidnap,17/01/2018,15:00,"Near Bhar Wines, Hemmigepura, Bengaluru.",12.878899,77.485867
Siddapura,2017,Kidnap,5/5/2017,15:00,"No.26,3rd black saheli,children and development associion,narayan nagar bangalore",12.878992,77.562182
Banashankari,2019,Attempted Murder,30/03/2019,7:00,"Narayan nagar double road ,bangalore",12.878993,77.557886
J P Nagar,2019,2 wheeler theft,13/10/2019,4:00:00 PM,"NO.505, 5TH CROSS, APPAIAHSWAMY LYT,, UTTARAHALLI, Bengaluru City,",12.8790849,77.56780965
Konanakunte,2019,Ordinary Theft,25/11/2019,9:00,"SRI TEMPO BYREGOWDA HOUSE,, 5TH MAIN,
APPAIAHSWAMY LYT,, Bengaluru City,",12.8790849,77.56780965
Subramanyapura,2015,Assault,17/05/2015,18:15,NO.141 LALBHADUR SHSTRI ROAD UTTARAHALLIBANGALORE,12.8790849,77.56780965
Subramanyapura,2016,Assault,18/07/2016,14:30,"No.36, Turahalli, Uttarahalli Post, Bangalore.",12.879147,77.541197
Hanumantha Nagar,2018,2 wheeler theft,22/11/2018,6:00:00 PM,"Infront of No 54, 14th A Cross, Weavers colony, J P Nagar 1st Phase, Bengaluru
City, Karnaka, 560078",12.8791483,77.5522352
Basavanagudi,2016,Robbery,9/6/2016,7:45:00 PM,HARINAGAR BENGALORE CITY,12.87915064,77.57683666
J P Nagar,2016,2 wheeler theft,3/11/2016,17:45 PM,HARINAGAR 2ND CROSS BENGALORE CITY,12.87915064,77.57683666
J P Nagar,2016,2 wheeler theft,22/12/2016,12:00:00 AM,RAMA MANDIR ROAD HARI NAGAR BENGALORE CITY,12.87915064,77.57683666
Subramanyapura,2015,Assault,25/04/2015,11:15,HARINAGARA ANJANAPURA MAIN ROAD BANGALORE,12.87915064,77.57683666
Subramanyapura,2017,Assault,15/02/2017,21:35,"No.11 front ,1st cross,subbanna layout,konanakunte cross,bangalore",12.879174,77.564244
Subramanyapura,2017,Assault,18/03/2017,21:00,"Sri kabbalamma bipanis,bangalore",12.879174,77.564244
Subramanyapura,2017,Assault,01/07/2017,12:00,"Behind Chandra choudeshwari temple,konanakunte,bangalore",12.879174,77.564244
J P Nagar,2019,2 wheeler theft,25/04/2019,12:45:00 PM,"New Donne Biriyanai Hotel , siddaganga school apposite, Raghuvanahalli, Bangalore.",12.879218,77.542339
Banashankari,2017,Murder,1/13/2017,,"Harinagar cross,kothanur main road,konanakunte",12.879223,77.567169
Konanakunte,2019,Ordinary Theft,27/06/2019,14:30,"Provision Store Near, HM world city opt, Behand Vinayaka Theere, Avalahalli, Bangalore.",12.879241,77.54813
Banashankari,2016,Attempted Murder,25/11/2016,0:15,"Near RV college, 100 Feet Road, BSK 6th Stage, Bangalore.",12.879245,77.512528
Subramanyapura,2017,Assault,25/02/2017,18:00,"Anjaneya temle road,vaddarpalya,bangalore",12.87929,77.567728
Banashankari,2016,Murder,10/23/2016,,SHIVA SHAKTI RICRION FRONT NEAR VINAYAKA THETRA HARINAGARA BANGLORE,12.87932828,77.5737415
J P Nagar,2015,2 wheeler theft,4/11/2015,11:10:00 AM,"Front Of Rk Complex, Near KSIT College Raghuvanahalli, Bengaluru.",12.8794,77.546049
J P Nagar,2015,2 wheeler theft,24/02/2015,8:15:00 PM,"KS Polytech Parking Place, Raghuvanahalli, Bengaluru.",12.879408,77.545308
J P Nagar,2015,2 wheeler theft,1/8/2015,5:30:00 PM,"Parking Place, KSIT College, Kanakapura Main Road, Bengaluru.",12.879408,77.545308
J P Nagar,2015,2 wheeler theft,5/8/2015,11:30:00 AM,"Near KSIT Coillege, KKP Road, Bengaluru.",12.879408,77.545308
J P Nagar,2015,2 wheeler theft,11/08/2015e,11:30:00 AM,"Near KSIT Coillege, Main Ge, KKP Road, Bengaluru.",12.879408,77.545308
J P Nagar,2015,2 wheeler theft,17/10/2015,5:00:00 PM,"Ge 2 Parking Place, KSIT College, KKP Main Road, Bengaluru.",12.879408,77.545308
J P Nagar,2015,2 wheeler theft,21/12/2015,10:00:00 AM,"KSIT College Parking Place, Kanakapura Main Road, Bengaluru.",12.879408,77.545308
Subramanyapura,2016,Assault,25/03/2016,20:00,"Near KSIT College Raghuvanahalli, Bangalore.",12.879408,77.545308
J P Nagar,2015,2 wheeler theft,25/03/2015,7:00:00 PM,"Front of KSIT Boys Hostle, Raghuavanhalli, Bengaluru.",12.87941,77.54512
J P Nagar,2018,2 wheeler theft,25/09/2018,10:00:00 AM,"Asian Poublic School Parking place Raghuvanahalli, Bengaluru.",12.879433,77.5434
J P Nagar,2018,2 wheeler theft,1/22/2018,,"no 235, kothnur main, harinagara",12.879442,77.566932
J P Nagar,2018,2 wheeler theft,2/3/2018,,"no 23, kothnur main, hari nagara",12.879442,77.566932
J P Nagar,2016,2 wheeler theft,16/08/2016,11:00:00 AM,"Jalageramma tent House, Near RV College, Chikkgoudanpalya, Talghttapura, Bengaluru.",12.879448,77.513354
Girinagar,2015,2 wheeler theft,15/01/2015,2:20:00 PM,"Infront of NO.29, Sharadhanagara, Chunchaghta, Road, Kanakapura Mainroad,
Bengaluru City, Karnaka, 560078",12.879478,77.548839
Hanumantha Nagar,2015,2 wheeler theft,13/03/2015,11:59:00 PM,DODDAKASANDRA BENGALORE CITY,12.87952429,77.56163374
J P Nagar,2016,2 wheeler theft,2/3/2016,9:55:00 PM,"KSIT College Parking Place, Kanakapura Main Road, Raghvanahalli, Bengaluru.",12.879633,77.544387
Banashankari,2018,Murder,3/11/2018,20:00,"80 Feet Road, Near KSIT College, Raghuvanahalli, Bengaluru City",12.879671,77.54543
Banashankari,2017,Attempted Murder,3/5/2017,17:00,"Infront Krishna Grand
Hotel Monotype, BSK 2ND
STAGE, Bengaluru City,",12.87974,77.50031
Banashankari,2017,Attempted Murder,9/11/2017,5:00,"#NA,Near Banashankari
Fire stion, Banashankari
2nd stage, Bengaluru City,",12.87974,77.50031
Siddapura,2019,Kidnap,26/09/2019,14:10,"no 106 2nd main 5th cross, kakiya nagara, bengalore.",12.87991967,77.55749353
J P Nagar,2016,2 wheeler theft,27/10/2016,13:00 PM,CHUCHAGTA MAIN ROAD BENAGALORE CITY,12.87999087,77.56739531
Siddapura,2019,Kidnap,14/08/2019,16:40,"No-5/5, Ramakrishna Building, Chikkegowdanapalya, BSK lyt, 6 th stage, 4 th block), Bangalore.",12.880097,77.513418
Basavanagudi,2017,Chain Snatching,28/09/2017,7:15:00 AM,KSRTC LAYOUT UTTRAHALLI BENGALORE CITY,12.88010332,77.57426142
J P Nagar,2017,2 wheeler theft,9/3/2017,15:31 PM,SARAVABOWMANAGAR CHIKKALASANDRA BENGALORE CITY,12.88010332,77.57426142
J P Nagar,2017,2 wheeler theft,7/10/2017,12:30:00 PM,SARAVABOWMANAGAR CHIKKALASANDRA BENGALORE CITY,12.88010332,77.57426142
J P Nagar,2018,2 wheeler theft,30/10/2018,12:00:00 PM,"#41/B 1ST CROSS, 5TH MAIN ROAD,, SARVABOUMA NAGARA, Bengaluru",12.88010332,77.57426142
J P Nagar,2019,2 wheeler theft,28/08/2019,6:15:00 PM,"NO 166 01ST MAIN 1ST CROSS, SARVABOUMA NAGARA
CHIKKALLASANDRA, Bengaluru City,",12.88010332,77.57426142
J P Nagar,2019,2 wheeler theft,14/10/2019,9:00:00 PM,"SRI KAMALA 1ST MAIN SARVABOUMA NAGARA,
CHIKKALLASANDRA, Bengaluru City,",12.88010332,77.57426142
Subramanyapura,2018,Assault,24/08/2018,9:00,SEVENTH MAIN FIRST CROSS SARVABOUMA NAGARA CHIKKALASANDRA BANGALORE NAGARA,12.88010332,77.57426142
Siddapura,2018,Kidnap,29/05/2018,10:30,"No.21,kerammma layout,infront of society ,jp nagar 8th stage,bangalore",12.880104,77.567961
Konanakunte,2015,Ordinary Theft,29/01/2015,23:45,NARAYANA NAGAR DODDAKASANDRA BENGALORE CITY,12.88012131,77.55853349
Konanakunte,2015,Ordinary Theft,22/06/2015,18:50,VINAYAK TAKIES HARI NAGAR BENGALORE CITY,12.8801656,77.57497677
J P Nagar,2016,2 wheeler theft,9/1/2016,10:50:00 PM,KONANNAKUTE BENGALORE CITY,12.88018178,77.56563931
Banashankari,2019,Attempted Murder,31/03/2019,7:15,"Kokonet garden near ,kteramma lyout bangalore",12.880183,77.567401
K G Nagar,2016,Ordinary Theft,18/10/2016,18:20,"In front of SBI Bank M Centre, Chunchaghta Main Road, Bengaluru City,
Karnaka",12.8802211,77.5651294
Shankarapua,2018,Kidnap,19/02/2018,15:30,"no.596, vasantha pura, SB pura post, bengalore",12.88023219,77.57384591
Subramanyapura,2017,Assault,22/01/2017,13:00,VASANTHVALLABHA TEMPLE NEAR VASANTAPURA BANGLORE,12.88023219,77.57384591
Subramanyapura,2018,Assault,21/03/2018,9:40,NO228 BANDE MARIYAMMA TEMPLE BEHIND VASANTA PURA BANGALORE,12.88023219,77.57384591
J P Nagar,2019,2 wheeler theft,5/18/2019,,"in fant of hous no 24,02
cross KCC layout
kothanur last bus stop
JP nagar 8th Bengaluru
City Karnaka 560062",12.880369,77.575178
Konanakunte,2017,Ordinary Theft,24/03/2017,,"Srinidhilayout ,sharadambe temple ,bangalore",12.880369,77.575178
J P Nagar,2015,2 wheeler theft,23/08/2015,10:30:00 PM,KONANNAKUTE CROSS VASANTAPUR BENGALORE CITY,12.88045896,77.56403544
J P Nagar,2017,2 wheeler theft,15/05/2016,11:00:00 AM,KANAKAPUR MAIN KONANNAKUNTE BENGALORE CITY,12.88045896,77.56403544
Subramanyapura,2015,Assault,27/09/2015,21:15,KANAKAPURA MAIN ROAD KONANUKUNTE CROSSBANGALORE,12.88045896,77.56403544
J P Nagar,2018,2 wheeler theft,12/10/2018,5:00:00 PM,"OPP KSIT College, Raghuvanahalli, Bengaluru.",12.880535,77.544034
Basavanagudi,2019,Robbery,31/05/2019,23:50PM,"NEAR RAMANJANEYA PARK OPPOSITE BAKARY, RAMANJANEYA NAGARA CHIKKALLASANDRA, BENGALURU.",12.88056739,77.56692379
J P Nagar,2017,2 wheeler theft,16/11/2019,13:10 PM,BHCS LAYOUT CHIKKALASANDRA BENGALORE CITY,12.88056739,77.56692379
Subramanyapura,2017,Assault,31/01/2017,17:00,BRUNDAVANA HOTEL NEAR MARUTHI CIRCLE RAMAJINEYA LAYOUT BANGLORE,12.88056739,77.56692379
Siddapura,2015,Rape,10/09/2015,22:00,"Behind KSIT College, Raghuvanahalli, Friends Coloby, Bangalore.",12.880629,77.543807
J P Nagar,2019,2 wheeler theft,9/5/2019,,"Infront of
Office,No.51,Lakshmana
Layout Jambusavari
DInne Main Road,J P
Nagara 8th Phase
Bengaluru City
Karnaka 560083",12.8807444,77.57559
Siddapura,2018,Rape,26/11/2018,19:45,"No.215,ambedkar calony ,doddakallasandra,kanakapura main road,bangalore",12.8807444,77.57559
Banashankari,2019,Attempted Murder,7/4/2019,3:45,"Near Panchami Kandi Manthri, Raghuvanahalli,Anajanapura, Bangalore.",12.880754,77.549448
J P Nagar,2017,2 wheeler theft,1/8/2017,9:00:00 PM,"Ifront of TR Hospital Kothanur dinne Main Road, J P Nagar 7 Th Phase, Bengaluru",12.880763,77.584638
Girinagar,2015,2 wheeler theft,5/6/2015,11:30:00 AM,"Infront of No.527, 17th Crossroad, 35th Mainroad, 6th phase J P Nagara,
Bengaluru City, Karnaka, 560078",12.8807651,77.5499705
Girinagar,2016,2 wheeler theft,29/04/2016,5:10:00 PM,"Infront of No.84, 33rd Mainroad, 17th Crossroad, 6th phase J P Nagar, Bengaluru
City, Karnaka, 560078",12.8807651,77.5499705
Thalaghtappura,2019,Assault,03/09/2019,3:00,"Near photos kitchen hotel,1st cross,2nd main,navodaya nagar,jp nagar 7th stage,bangalore",12.880777,77.584035
Thalaghtappura,2019,Assault,01/09/2019,17:00,"No.172,4th main,11th cross,beereshwara nagar,bangalore",12.880803,77.584041
Thalaghtappura,2019,Assault,01/09/2019,17:15,"No.176,4th main,11th cross,beereshwara nagar,chunchaghta main road,bangalore",12.880803,77.584041
Girinagar,2016,2 wheeler theft,30/04/2016,8:15:00 PM,"Compound Premises, No-1, Ashwha Layout,, puttenahalli, 7th Phase JP Nagar,
Bengaluru City, Karnaka, 560078",12.8808476,77.5499705
Siddapura,2018,Rape,24/03/2018,12:40,"No.121,7th main Srinidhi layout,konanakunte cross,kanakapura main road bangalore",12.88086,77.57472
Subramanyapura,2017,Assault,11/11/2017,21:15,"No.79, Om Shakthi Temple, Near, 5th Main, Ganaphipur, bangalore",12.88086,77.57472
Subramanyapura,2018,Assault,27/01/2018,21:15,"Opp JSS school,ganaphipura bangalore",12.88086,77.57472
Basavanagudi,2019,Robbery,27/05/2019,22:10:00,"On road 11th Cross, 4th Main, Nrupunganagara, Jp Nagar 7th Phase, Bengaluru
City, Karnaka",12.88087,77.5855
J P Nagar,2019,2 wheeler theft,7/18/2019,3:00:00 PM,"Infront of House No.204, 1st main, suncity Layout, JP Nagar 7th phase, Bengaluru
City",12.88087,77.5855
J P Nagar,2019,2 wheeler theft,8/13/2019,4:00:00 PM,"Infront of House nO.104, 4th main, Santrupti Nagar, JP Nagar 7th phase, Bengaluru",12.88087,77.5855
K S Layout,2019,4 Wheeler Theft,7/20/2019,13:45,"Infront of house No.6/8, 4th cross, Santrupti Naga, JP Nagar 7th phase, Bengaluru
City",12.88087,77.5855
Banashankari,2017,Attempted Murder,19/11/2017,12:10,"Sri Sai Juice & candiments, 80 Feet Road, Gubbala, Banglore",12.880893,77.543751
J P Nagar,2016,2 wheeler theft,9/11/2016,12:00:00 PM,"No.33, 6th Cross, Manjunhanagar, Raghuvanahalli, Kanakapura main Road, Bengaluru.",12.880968,77.545877
Banashankari,2018,Attempted Murder,26/04/2018,17:00,"No.199,sri veebhadra swamy nilaya doddakallasandra,kanakapura main road bangalore",12.881012,77.57636
J P Nagar,2018,2 wheeler theft,29/06/2018,2:30:00 PM,"No.02, 4th Cross, Manjunh Nagar, Raghuvanahalli, Bengaluru.",12.881091,77.545719
Konanakunte,2016,Ordinary Theft,14/04/2016,21:40,"No.56, Mallasandra Village, Bangalore.",12.88112,77.54662
Konanakunte,2017,Ordinary Theft,07/12/2017,18:00,"Empty Site, 05 RV College, 5th Block ,Banashankari 6th Stage, Bangalore.",12.881128,77.541978
Konanakunte,2017,Ordinary Theft,21/02/2017,12:00,"No.05, Anjanapura Post, Bangalore.",12.881133,77.541236
Konanakunte,2017,Ordinary Theft,26/10/2017,15:15,"Near Shoba Apt, 100 Feet Road, Bangalore.",12.881137,77.54461
Konanakunte,2018,Ordinary Theft,05/01/2018,21:00,"prestige Group Apt, Turahalli, Subramanyapura Post,Bengaluru.",12.881276,77.5546123
Siddapura,2015,Rape,10/09/2015,22:00,"c/o Kumar Near Eshvar Temple, Suddaganga School Backside, Raghuvanahalli, Bangalore.",12.881293,77.547893
Siddapura,2018,Kidnap,13/06/2018,15:00,"No.54/3,chunchaghta main road,bangalore",12.8813,77.570951
J P Nagar,2018,2 wheeler theft,28/05/2018,13:50 PM,"KEMPANNA LAYOUT,GOWDANAPALYA UTTARAHALLI BENGALORE CITY",12.88134653,77.57473502
Banashankari,2017,Attempted Murder,31/05/2017,9:00,"No.13/14,7th cross ,beereshwara nagar ,rbi lay out bangalore",12.881457,77.573157
Konanakunte,2017,Ordinary Theft,05/12/2017,15:00,"Viva Concstructiuons Comony, Ira Academy, Hemgepura, Bangalore.",12.881497,77.54487
J P Nagar,2019,2 wheeler theft,4/25/2019,,"Infront of house No-100,
Ushanhan, Rayal lake
front view residency
Layout, Ragavana Palya,
Bengaluru City
Karnaka",12.881514,77.565853
Konanakunte,2017,Ordinary Theft,07/03/2017,17:00,"Near annapoorneshwari temple ,shreyas calony ,kothanur main road,bangalore",12.881514,77.565853
Banashankari,2018,Attempted Murder,1/4/2018,8:30,"BSK 6th Stage, 5th block, BDA Layout, Bangalore.",12.881532,77.511282
Basavanagudi,2018,Chain Snatching,11/4/2018,11:00,"No.9,4th ,main,12th cross,shreyas calony,jp nagar 7th stage,bangalore",12.881587,77.5762
J P Nagar,2017,2 wheeler theft,11/1/2017,12:00:00 AM,"no 24, gowrav nagara",12.881587,77.5762
J P Nagar,2017,2 wheeler theft,6/20/2017,,"NO.6, 5th Main,4th
Cross,JP Nagar 7th
Phase, Navodaya Nagar
Bengaluru City
Karnaka 560078",12.881629,77.584344
Subramanyapura,2017,Assault,14/07/2017,14:30,"No01/15,2nd cross,shivshakti nagar,bangalore",12.88164,77.571036
Subramanyapura,2017,Assault,01/09/2017,13:50,"Near eshwari temple,behind AK calony,bangalore",12.88164,77.571036
J P Nagar,2017,2 wheeler theft,27/03/2017,9:30:00 AM,"No.533 8th Main Road, 4th ""t"" Block, BSK 6th Stage, Talaghttapura Bengaluru.",12.881655,77.538172
Shankarapua,2016,Kidnap,21/04/2016,3:30,rammandir tepmple harinagar anjanapura post,12.88168453,77.56599502
Basavanagudi,2015,Robbery,13/09/2015,9:00:00 PM,KONANNAKUTE HARI NAGAR CROSS BENGALORE CITY,12.88168725,77.56585586
Basavanagudi,2018,Chain Snatching,6/6/2018,21:30,"Near marithi school,kothanur main road,bangalore",12.88169,77.5791
Subramanyapura,2015,Assault,29/04/2015,11:00,"Ishvarya Aptd, Kanakapura Main Road, Raghuvanahalli, Bangalore.",12.881747,77.546289
Subramanyapura,2015,Assault,03/04/2015,14:00,"No.3/3, Ishvarya Nilay, Naer Ishvar Temple, Kanakapura Road, Bangalore.",12.881747,77.546289
Siddapura,2019,Kidnap,19/11/2019,14:30,"No.01,aronodaya,2nd cross,chunchaghta main road,shreenidhi layout bangalore",12.881754,77.569001
Subramanyapura,2018,Assault,26/03/2018,12:00,"Near maruthi layout ragi mill tengin tope,weavers calony,bangalore",12.881754,77.569001
Basavanagudi,2019,Chain Snatching,2/26/2019,17:30,"BEHIND MERUTI SCHOOL2ND CROSS ROAD ,, ANNAPURNESHWARI LAY
OUT, Bengaluru City, Karnaka, 560062bangalore",12.88176,77.575947
Banashankari,2019,Attempted Murder,13/11/2019,19:00:00,"INSIDE HOUSE NO-67, 2ND CROSS, ARADHANA LAYOUT, ARAKERE, B.G
ROAD, Bengaluru City",12.881791,77.588689
J P Nagar,2016,2 wheeler theft,17/12/2016,17:30 PM,"J,P NAGAR 8TH PHASE BENGALORE CITY",12.8818325,77.56693475
Basavanagudi,2018,Chain Snatching,8/7/2018,9:00,"No.107,infront of ge 1st main ,shreyas calony ,jp nagar 7th stage bangalore-78",12.881898,77.57622
J P Nagar,2018,2 wheeler theft,1/23/2018,,"no 22, 4th main, 5th cross, navodaya nagara",12.881898,77.57622
J P Nagar,2018,2 wheeler theft,3/13/2018,,"no 67, 4th cross, 1st main, navodaya nagara",12.881898,77.57622
J P Nagar,2018,2 wheeler theft,6/2/2018,,"no 4, 3rd mai, 9th cross, sryes colony",12.881898,77.57622
J P Nagar,2018,2 wheeler theft,6/28/2018,,"no 23, 12th cross, shreys colony",12.881898,77.57622
J P Nagar,2019,2 wheeler theft,1/30/2019,,"inside Compound, opp
Maruthi school, no-75,
1st main, j.p. Nagara 7th
Phase Bengaluru City
Karnaka 560078",12.881898,77.57622
Banashankari,2018,Attempted Murder,2/7/2018,20:54,konanakunte amruth nagar main road bangalore-62,12.881966,77.566281
J P Nagar,2015,2 wheeler theft,30/09/2015,10:01:00 PM,SRINIDHI LAYOUT KONANNAKUTE BENGALORE CITY,12.88198032,77.5730296
J P Nagar,2016,2 wheeler theft,13/01/2016,,KONANNAKUTE BENGALORE CITY,12.88198032,77.5730296
K S Layout,2015,4 Wheeler Theft,15/04/2015,22:10,"infront of 6 BOB Colony, jpnagar 7th phase, Bengaluru City, Karnaka, 560078",12.8820672,77.5798883
J P Nagar,2017,2 wheeler theft,2/7/2017,,"infront of Venkeshwara
Nilaya
Muneshwara1stBlock
harinagara cross
Bengaluru City
Karnaka 560062",12.88207,77.57099
Konanakunte,2017,Ordinary Theft,20/09/2017,18:15,"Muniswamy garden,chunchaghta main road ,bangalore",12.88207,77.57099
Basavanagudi,2017,Chain Snatching,16/05/2017,14:00,"Srinidhi layout,miniswamy compound,8th cros,8th main,konanakuntebangalore",12.882084,77.5744
J P Nagar,2017,2 wheeler theft,5/7/2017,,"Infront of House No.239
Shree Manjunha 3rd
cross EWS Layout 2nd
block 8rd phase
Bengaluru City
Karnaka 560076",12.882084,77.5744
J P Nagar,2017,2 wheeler theft,2/27/2017,,"FRONT OF HOUSE NO
10, 1ST MAIN, 2ND A
CROSS SRINIDHI
LAYOUT Bengaluru City",12.882116,77.574506
Konanakunte,2017,Ordinary Theft,22/08/2017,15:40,"No-31,11th cross,5th main,srinidhi layout,infront of maruthi school,bangalore",12.882116,77.574506
Subramanyapura,2018,Assault,31/03/2018,11:15,"No.161,5th cross harinagar bangalore",12.882116,77.574506
Basavanagudi,2016,Robbery,29/04/2016,10:40:00 AM,DODDAKALASANDRA BENGALORE CITY,12.88211726,77.55729374
Hanumantha Nagar,2015,2 wheeler theft,14/03/2015,8:00:00 PM,DODDAKASANDRA BENGALORE CITY,12.88211726,77.55729374
K S Layout,2015,4 Wheeler Theft,26/09/2015,2:45,AMRUTA NAGAR KANAKAPUR MAIN MARALLU STAND BENGALORE CITY,12.88211726,77.55729374
Konanakunte,2015,Ordinary Theft,21/02/2015,16:15,DODDAKASANDRA BENGALORE CITY,12.88211726,77.55729374
Subramanyapura,2015,Assault,03/08/2015,11:10,KANAKAPURA MAIN ROAD DODDAKALLASANDRA BANGALORE,12.88211726,77.55729374
Subramanyapura,2015,Assault,11/08/2015,16:30,SARVABOMA NAGARA BANGALORE,12.88211726,77.55729374
Subramanyapura,2015,Assault,15/10/2015,20:00,DODDAKALLASANDRA BANGALORE,12.88211726,77.55729374
Subramanyapura,2017,Assault,24/08/2017,20:15,"METAL CLOSEX PVT LTD KANAKAPURA MAIN ROAD KONANAKUNTE CROSS, BANGALORE",12.88211726,77.55729374
Konanakunte,2016,Ordinary Theft,29/02/2016,11:00,"No.900, 6th Stage, 5th Block, Bsk 6th staege, Bangalore.",12.882138,77.542211
J P Nagar,2015,2 wheeler theft,2/4/2015,1:00:00 PM,"No.47 Front, 5th cross, Manjunhanagar, Raghuvanahalli, Bengaluru.",12.882146,77.546251
Konanakunte,2017,Ordinary Theft,04/02/2017,10:00,"No.04 Jainkumar Nilaya, 10th Cross, Balaji Layout, Baiyanapalya, Bangalore.",12.882148,77.545514
Banashankari,2017,Murder,4/3/2017,1:30,"Telephone exchange road,new bank calony",12.882152,77.565325
J P Nagar,2017,2 wheeler theft,6/14/2017,,"Infront Of House no-43,
Jayamma Mahal,
V.V.street
Ganaphipura,
Konanakune Cross
Bengaluru City
Karnaka",12.8822193,77.5659682
J P Nagar,2017,2 wheeler theft,10/20/2017,,"no-06 supraja nagara
konanakunte Bengaluru
City Karnaka",12.8822193,77.565968
Siddapura,2019,Rape,23/08/2019,23:30,"No.6,kuvempu road,2nd cross,beereshwara nagar,chunchaghta main road,bangalore",12.88226,77.56431
